Unique ID,Topic,Viewed,Initiated Service Request
1,How To Apply for a Position,2229,0
2,Mountain Lions,1749,0
3,Code Enforcement Unit,1730,0
4,Rental Housing Licensing Code Violations,942,238
5,Minor in Possession (MIP),1054,0
6,General Court Questions,1029,0
7,Sealing Minor in Possession (MIP) Records,920,0
8,Building Safety Code Violations,786,67
9,Contact Boulder Municipal Court,680,78
10,Pay a Parking Ticket,705,0
11,Potholes,129,479
12,Police Department Job Opportunities,599,0
13,Contact City Council,591,0
14,Valmont Bike Park,561,8
15,Building Permits,542,0
16,Other - Miscellaneous,481,45
17,Contact Open Space and Mountain Parks,0,516
18,Broken Parking Meter or Pay Station,395,22
19,Water System Maintenance,351,52
20,Court ordered classes (MIP),399,0
21,Public Tree Issues,343,41
22,Parks and Recreation - Online Registration,379,0
23,Trash Concerns,304,60
24,Contact Parks and Recreation,183,170
25,"Animal Control, Rules & Regulations",350,0
26,Firefighter Recruitment,345,0
27,Sidewalk Snow & Ice Removal,311,10
28,Tax Rates,317,0
29,Bears,317,0
30,Street Maintenance,177,139
31,Contact Parking Services,186,130
32,Weed Control and Tall Vegetation,270,45
33,Dog Licensing,308,0
34,Sales Tax,305,0
35,Contact Public Works,115,188
36,Zoning Code Violations,272,28
37,Connect Boulder,267,23
38,Overgrown Sidewalk Obstructions,214,66
39,Mobile Food Vehicles,266,0
40,Medical Marijuana,263,0
41,Traffic Signals,186,75
42,Prairie Dogs,254,0
43,Boulder Reservoir,243,9
44,Animal Noise (Barking Dogs),250,0
45,Towed/Impounded Vehicles,243,0
46,Drinking Water Quality,229,12
47,Water Utility Billing,210,31
48,Transportation Projects,206,31
49,Special Events Requirements and Other Questions,229,0
50,Train Noise and Quiet Zones,224,0
51,Smoking in Public Places,191,32
52,Holidays,221,0
53,Business Services,216,0
54,Wildlife Issue or Sighting,144,65
55,Contact Human Resources,146,59
56,Flood Cleanup Ã¢â‚¬â€œ Creek & Culvert Debris,197,8
57,Website Issues,196,7
58,Sidewalk Repair and Maintenance,131,72
59,Contact Community Planning and Sustainability,191,10
60,Street Lights,128,72
61,Alley Maintenance,101,97
62,Park Shelter Rental,194,0
63,Biking,177,12
64,Fluoride,181,7
65,Living with Urban Wildlife,183,0
66,Volunteer Opportunities,178,0
67,Leash Law and Tethering,178,0
68,Graffiti,104,72
69,Traffic Signs and Markings,136,39
70,Jury Duty,174,0
71,Contact Human Services,142,25
72,Business Licensing Questions,147,15
73,Snow Plow Request,73,85
74,Cats in Boulder,158,0
75,Close Call Form,84,73
76,Liquor Licensing,155,0
77,Contact Division of Housing,142,9
78,Construction Use Tax,147,0
79,Parking Tickets,146,0
80,Photo Enforcement Information,146,0
81,Right-of-Way Code Violations,133,11
82,Dogs on Open Space and Mountain Parks,136,7
83,Locate an Underground Utility,141,0
84,Boulder Planning,126,12
85,Pearl Street and University Hill Vending Cart Information,135,0
86,Multi-use Path Maintenance,104,30
87,Contact City Attorney,114,20
88,"Rentals - Landlords, Tenant & Roommate Information",134,0
89,Outdoor Furniture Restriction (University Hill Neighborhood Only),124,6
90,SmartRegs,130,0
91,Boulder City Limits,129,0
92,Wood Burning Restrictions,123,5
