Unique ID,Topic,Viewed,Made Service Request
1,Police Code Enforcement Unit,1350,0
2,How To Apply for a Position,1263,0
3,Pay a Parking Ticket,1196,0
4,Contact Boulder Municipal Court,907,100
5,Rental Housing Licensing Code Violations,730,274
6,Building Safety Code Violations,768,60
7,Contact Open Space and Mountain Parks,184,585
8,Building Permits,756,0
9,Water System Maintenance,625,68
10,Medical Marijuana,582,0
11,Trash Concerns,495,72
12,Sealing Minor in Possession (MIP) Records,497,0
13,Other - Miscellaneous,451,43
14,Valmont Bike Park,461,2
15,Contact Parks and Recreation,260,145
16,Contact City Council,388,0
17,Public Tree Issues,272,112
18,Weed Control and Tall Vegetation,336,42
19,General Court Questions,358,0
20,Broken Parking Meter or Pay Station,313,21
21,Court ordered classes (MIP),324,0
22,Sidewalk Snow and Ice Removal,291,25
23,Drinking Water Quality,282,32
24,Potholes,83,229
25,Minor in Possession (MIP),311,0
26,Street Maintenance,142,124
27,Contact Public Works,88,174
28,"Animal Control, Rules and Regulations",258,0
29,Zoning Code Violations,209,40
30,Police Department Job Opportunities,247,0
31,Contact Parking Services,56,183
32,Leash Law and Tethering,236,0
33,Boulder Reservoir,224,11
34,Water Utility Billing,199,30
35,Overgrown Sidewalk Obstructions,152,72
36,Firefighter Recruitment,223,0
37,Holidays,218,0
38,Traffic Signs and Markings,158,57
39,Animal Noise (Barking Dogs),213,0
40,Website Issues,209,2
41,Traffic Signals,122,86
42,Sales Tax,204,0
43,Connect Boulder,180,21
44,Transportation Projects,155,39
45,Snow Plow Request,112,80
46,Mountain Lions,187,0
47,Train Noise and Quiet Zones,186,0
48,Dog Licensing,175,0
49,"Contact Planning, Housing and Sustainability",162,10
50,"Parking Information - Hours, Rates and Holidays",171,0
51,Graffiti,107,61
52,Contact Human Resources,105,51
53,Sidewalk Repair and Maintenance,93,63
54,Business Licensing Questions,126,28
55,Parking Tickets,152,0
56,Bear Resistant Container Required,148,3
57,Alley Maintenance,75,75
58,Towed/Impounded Vehicles,149,0
59,Smoking in Public Places,133,15
60,Contact Human Services,124,23
61,Bicycling,142,2
62,Locate an Underground Utility,142,0
63,Living with Urban Wildlife,140,0
64,Right-of-Way Code Violations,124,15
65,Volunteer Opportunities,136,0
66,Fluoride,131,5
67,Park Maintenance Issues,95,33
68,Street Lights,62,63
69,Boulder Planning,119,4
70,Wildlife Issue or Sighting,74,47
71,Pay Your Utility Bill and MyBUB (MyBoulderUtilityBill Website),109,11
72,Backflow Prevention - Drinking Water,101,19
73,Sanitary Sewer Maintenance,115,4
74,Jury Duty,117,0
75,Pay a Photo Enforcement Ticket,117,0
76,Business Services,116,0
77,Construction Meters/Hydrant Meters,114,0
78,Mobile Food Vehicles,114,0
79,Close Call Form,43,70
80,Contact Division of Housing,93,16
81,Photo Enforcement Information,107,0
82,Wood Burning Restrictions,99,7
83,Special Events Requirements and Other Questions,105,0
84,Cats in Boulder,103,0
85,"Rentals - Landlords, Tenant & Roommate Information",101,0
86,Waste Hauling Services,100,0
87,Civic Area Parking Plan,98,2
88,Dog Parks and Dog Swimming,94,4
89,Prairie Dogs,97,0
90,"Debris, Trash and Road Kill",44,53
91,Injured and Orphaned Small Wildlife,93,0
92,Contact City Attorney,71,22
93,Park Shelter Rental,92,0
94,Illegal Use of a Dumpster,72,19
95,Community Service Form,91,0
96,Boulder Revised Code,90,0
97,Construction Use Tax,89,0
98,Pesticides,85,4
99,Dogs on Open Space and Mountain Parks,85,4
100,Crosswalks and Flashing Crosswalks,62,25
101,Multi-use Path Maintenance,54,33
102,Signs in the Right-of-way,72,14
103,Flooding Information,63,23
104,Storm Drain Problems,71,14
105,Sewer Backup Prevention,82,0
106,Bears,78,0
107,Street Sweeping,41,36
108,Special Trash Service (University Hill and Goss-Grove Neighborhoods),72,4
109,Defenses in Municipal Court Traffic Cases,72,0
110,Sight Obstructions,43,28
111,Pearl Street and University Hill Vending Cart Information,70,0
112,Bulk Water Sales,70,0
113,Transit,69,0
114,Wastewater Treatment,69,0
115,Employee Benefits Guide,69,0
116,Records Requests,69,0
117,Boulder City Limits,69,0
118,Outdoor Furniture Restriction (University Hill Neighborhood Only),66,1
119,Fire System Permit Review,64,0
120,Projects Under Review,62,0
121,Contractor Licensing,62,0
122,Contact Channel 8,33,28
123,Inspections,59,0
124,Contact Boulder Public Library,54,5
125,Airport,56,0
126,Contact The Department of Community Vitality,51,5
127,Downtown Boulder - Pearl Street Mall,54,0
128,Recreation Facilities Issues,52,2
129,Affordable Rental Opportunities,52,0
130,Maintenance on Open Space and Mountain Parks,49,3
131,Defenses in Non-Traffic Municipal Court Cases,50,0
132,Electric Vehicles and Charging Stations,50,0
133,Parking Permits,50,0
134,Shelter and Facility Rentals on Open Space,16,34
135,Liquor Licensing,49,0
136,Landscape Mulch and Free Mulch,49,0
137,Water Being Pumped or Diverted Off Private Property to Elsewhere,38,11
138,Medians,35,12
139,SmartRegs,46,0
140,Tax Rates,46,0
141,Pet Safety Tips,45,0
142,Macky Auditorium (Boulder Arts Commission) Free Rental Space,44,0
143,Creek and Culvert Debris,43,0
144,Internships and Work-Study Positions,42,0
145,Phone Numbers,40,0
146,Employment Definitions,40,0
147,Sewer Odor Problem,39,0
148,Claims,39,0
149,Aircraft Noise,37,0
150,Facility Reservations and Activity Registrations,0,36
151,Events at Boulder Public Library,34,0
152,Boulder Convention and Visitors Bureau,34,0
153,Fire Hydrants,33,0
154,Water Seepage,32,0
155,Disposable Bag Fee,32,0
156,Open Space Rules and Regulations,32,0
157,Mosquitoes,32,0
158,School Zone Flashing Beacons,21,10
159,Affordable Homeownership,31,0
160,Prosecution,29,0
161,Fire Safety Education,29,0
162,Neighborhood Eco Pass,28,0
163,Senior Services Programs,27,0
164,Downtown Employee Eco Pass (CAGID & BID),26,0
165,Damage Claims,23,2
166,Canyon Gallery and Art Exhibit Space,24,0
167,Senior Centers,24,0
168,Hourly Billing Charges for Development Review Applications,24,0
169,Energy Future,22,1
170,Contact the Open Space Board of Trustees,17,6
171,Recreation Equipment Issues,21,1
172,Boulder Civic Area,21,1
173,Birth and Death Certificate Request,21,0
174,Drivers License and License Plates,21,0
175,Animal Shelter,20,0
176,Report Substance Spills,20,0
177,Open Space and Trail Maps,20,0
178,Coyotes,20,0
179,Trails and Trailheads on Open Space,18,2
180,Pearl Street and University Hill activity permit information,19,0
181,Folsom Street Living Lab,16,3
182,Softball Leagues,16,1
183,Accessible Parking,17,0
184,Community Mediation Service,16,0
185,Boulder Office of Emergency Management,15,0
186,Block Party,15,0
187,City of Boulder Parking Map,15,0
188,North Boulder Subcommunity Plan,13,2
189,Cone Zones,14,0
190,Agriculture Plan,14,0
191,Open Space Recreation Activities,13,0
192,Inside Boulder News,13,0
193,Fourmile Canyon Creek Greenways Improvements Project,11,2
194,Pearl Street Mall,11,2
195,Current Affordable Homeowners,13,0
196,Irrigation in City Parks,11,1
197,Visitors,12,0
198,Immigrant Integration,12,0
199,Special Event Liquor Permits,12,0
200,Family Resource Center and Schools,11,0
201,Americans with Disabilities Act (ADA),11,0
202,Homelessness and Homeless Services,11,0
203,Pawnbroker and Secondhand Dealer License Instructions,11,0
204,Skateboarding,11,0
205,Boulder Measures,6,4
206,Current Emergency Information,10,0
207,Wage Issues,10,0
208,Home Repair Programs,10,0
209,Construction and Event Parking Permits,10,0
210,"Emergency Alerts, Numbers and Warnings",9,0
211,Americans with Disabilities Act (ADA) Trails,9,0
212,Open Space and Trail Closures,9,0
213,"Circus, Carnival or Menagerie License Instructions",8,0
214,Discrimination,8,0
215,Including Affordable Units in Residential Development,8,0
216,Itinerant Merchant (Door-to-door) License,8,0
217,Library Meeting Space,8,0
218,Community Event and Impact Funds,8,0
219,Scalping Tickets,7,0
220,Solar Rebate Program,7,0
221,Auction Licensing Instructions,7,0
222,Youth Opportunities,7,0
223,Events,7,0
224,Volunteering at the Library,7,0
225,Meals on Wheels and Cafe Classico,7,0
226,Reimbursement for Professional Development,6,0
227,Housing Fund for Affordable Housing Providers,6,0
228,Ask-a-Librarian,6,0
229,Child Care Provider Training,6,0
230,Child Care Referrals and Subsidies,6,0
231,Getting a Boulder Public Library card,5,0
232,Prevention and Intervention,5,0
233,Local History,5,0
234,BoulderReads!,5,0
235,News,5,0
236,Twenty Ninth Street,4,0
237,Theater Rental and Marketing Assistance Grants,3,0
238,Boulder Arts Commission Grants,3,0
239,Human Services Fund,3,0
240,Pharmaceutical Disposal and Collection,3,0
241,Food Tax Rebate Program,2,0
242,Youth Opportunities Grants,1,0
243,Community Development Block Grant,1,0
244,Canyon Theater and Canyon Gallery Space Rentals,1,0
245,Emergency Preparedness,1,0
