Unique ID,Entered via,Department,Topic,Entered date
1,Web,Open Space and Mountain Parks,Agriculture Plan,8/17/15
2,Web,Open Space and Mountain Parks,Agriculture Plan,9/27/15
3,Web,Open Space and Mountain Parks,Agriculture Plan,3/12/15
4,Web,Open Space and Mountain Parks,Agriculture Plan,9/28/15
5,Web,Open Space and Mountain Parks,Agriculture Plan,4/30/15
6,Web,Public Works,Alley Maintenance,7/22/15
7,Phone,Public Works,Alley Maintenance,4/14/15
8,Phone,Public Works,Alley Maintenance,4/14/15
9,Web,Public Works,Alley Maintenance,8/10/15
10,Web,Public Works,Alley Maintenance,5/31/15
11,Web,Public Works,Alley Maintenance,6/30/15
12,Web,Public Works,Alley Maintenance,6/2/15
13,Web,Public Works,Alley Maintenance,2/11/15
14,Web,Public Works,Alley Maintenance,3/26/15
15,Web,Public Works,Alley Maintenance,2/27/15
16,Phone,Public Works,Alley Maintenance,7/27/15
17,Web,Public Works,Alley Maintenance,2/2/15
18,Web,Public Works,Alley Maintenance,3/21/15
19,Web,Public Works,Alley Maintenance,3/22/15
20,Web,Public Works,Alley Maintenance,7/29/15
21,Web,Public Works,Alley Maintenance,3/4/15
22,Web,Public Works,Alley Maintenance,3/24/15
23,Web,Public Works,Alley Maintenance,2/18/15
24,Web,Public Works,Alley Maintenance,2/26/15
25,Phone,Public Works,Alley Maintenance,2/5/15
26,Phone,Public Works,Alley Maintenance,6/18/15
27,Phone,Public Works,Alley Maintenance,8/5/15
28,Phone,Public Works,Alley Maintenance,5/27/15
29,Phone,Public Works,Alley Maintenance,4/20/15
30,Phone,Public Works,Alley Maintenance,9/18/15
31,Phone,Public Works,Alley Maintenance,6/16/15
32,Phone,Public Works,Alley Maintenance,12/14/15
33,Web,Public Works,Alley Maintenance,1/14/15
34,Web,Public Works,Alley Maintenance,4/28/15
35,Web,Public Works,Alley Maintenance,3/23/15
36,Web,Public Works,Alley Maintenance,10/12/15
37,Web,Public Works,Alley Maintenance,2/27/15
38,Phone,Public Works,Alley Maintenance,5/14/15
39,Web,Public Works,Alley Maintenance,6/4/15
40,Phone,Public Works,Alley Maintenance,7/16/15
41,Web,Public Works,Alley Maintenance,5/14/15
42,Web,Public Works,Alley Maintenance,1/26/15
43,Web,Public Works,Alley Maintenance,3/31/15
44,Phone,Public Works,Alley Maintenance,2/3/15
45,Phone,Public Works,Alley Maintenance,8/5/15
