Unique ID,Topic,Viewed,Initiated Service Request
1,How To Apply for a Position,2483,0
2,Code Enforcement Unit,1676,0
3,General Court Questions,1368,0
4,Contact Boulder Municipal Court,1001,95
5,Building Safety Code Violations,975,107
6,Pay a Parking Ticket,1060,0
7,Sealing Minor in Possession (MIP) Records,1060,0
8,Minor in Possession (MIP),1056,0
9,Police Department Job Opportunities,1047,0
10,Sales Tax,845,0
11,Contact City Council,806,0
12,Shelter and Facility Rentals on Open Space,724,74
13,Rental Housing Licensing Code Violations,483,83
14,Building Permits,549,0
15,Contact Open Space and Mountain Parks,87,442
16,Broken Parking Meter or Pay Station,520,9
17,Flood Cleanup Ã¢â‚¬â€œ Creek & Culvert Debris,446,81
18,Water System Maintenance,463,44
19,Dog Licensing,501,0
20,Other - Miscellaneous,457,35
21,Court ordered classes (MIP),397,0
22,Mountain Lions,362,0
23,"Animal Control, Rules & Regulations",342,0
24,Boulder Reservoir,322,19
25,Firefighter Recruitment,335,0
26,Potholes,101,213
27,Animal Noise (Barking Dogs),307,0
28,Tax Rates,304,0
29,Mobile Food Vehicles,287,0
30,Towed/Impounded Vehicles,271,0
31,Bears,271,0
32,Trash Concerns,230,38
33,Contact Parks and Recreation,116,141
34,Street Maintenance,112,145
35,Contact Public Works,94,157
36,Prairie Dogs,239,0
37,Weed Control and Tall Vegetation,211,26
38,Special Events Requirements and Other Questions,234,0
39,Contact Parking Services,131,100
40,Park Shelter Rental,227,0
41,Volunteer Opportunities,218,0
42,Contact Human Resources,169,46
43,Water Utility Billing,173,42
44,Sidewalk Snow & Ice Removal,214,0
45,Contact Community Planning and Sustainability,191,23
46,Liquor Licensing,210,0
47,Parking Tickets,209,0
48,Parks and Recreation - Online Registration,204,0
49,Overgrown Sidewalk Obstructions,140,58
50,Business Licensing Questions,158,29
51,Wildlife Issue or Sighting,121,65
52,Train Noise and Quiet Zones,184,0
53,Cats in Boulder,181,0
54,Jury Duty,179,0
55,Alley Maintenance,94,81
56,Smoking in Public Places,160,12
57,Business Services,168,0
58,Traffic Signals,114,44
59,Holidays,156,0
60,Flood Information,113,40
61,Sidewalk Repair and Maintenance,109,40
62,Leash Law and Tethering,147,0
63,Traffic Signs and Markings,100,46
64,Photo Enforcement Information,142,0
65,Website Issues,132,9
66,Electric Vehicles and Charging Stations,139,0
67,Transportation Projects,112,24
68,Medical Marijuana,135,0
69,Pay Your Utility Bill and MyBUB (MyBoulderUtilityBill Website),122,12
70,Valmont Bike Park,127,5
71,Sanitary Sewer Maintenance,116,16
72,Graffiti,42,86
73,Defenses in Municipal Court Traffic Cases,127,0
74,Drinking Water Quality,113,13
75,Construction Use Tax,124,0
76,Living with Urban Wildlife,122,0
77,Contact Division of Housing,116,3
78,Dogs on Open Space and Mountain Parks,108,9
79,Boulder City Limits,115,0
80,Wood Burning Restrictions,101,12
81,Employee Benefits Guide,113,0
82,Contact City Attorney,87,21
83,Zoning Code Violations,93,13
84,Fluoride,99,6
85,Damage Claims,103,1
86,Airport,103,0
87,Storm Drain Problems,82,20
88,Pay a Photo Enforcement Ticket,101,0
89,Contact Human Services,75,25
90,Snow Plow Request,39,61
91,Construction Meters/Hydrant Meters,98,0
92,Dog Parks and Dog Swimming,88,9
93,Close Call Form,57,40
94,Internships and Work-Study Positions,96,0
95,Employment Definitions,94,0
96,"Parking Information - Hours, Rates and Holidays",93,0
97,Biking,82,11
98,Connect Boulder,92,0
99,Locate an Underground Utility,92,0
100,Signs in the Right-of-way,83,8
101,Affordable Rental Opportunities,90,0
102,Energy Future,89,1
103,Prosecution,88,0
104,Inspections,86,0
105,Wastewater Treatment,78,7
106,"Rentals - Landlords, Tenant & Roommate Information",84,0
107,Fire Safety Education,83,0
108,Disposable Bag Fee,83,0
109,Phone Numbers,81,0
110,Pearl Street and University Hill Vending Cart Information,80,0
111,Fire System Permit Review,77,0
112,Public Tree Issues,69,6
113,Crosswalks and Flashing Crosswalks,44,29
114,Special Use Permits,72,0
115,Illegal Use of a Dumpster,67,5
116,Community Service Form,72,0
117,Transit,72,0
118,Street Sweeping,32,39
119,SmartRegs,71,0
120,Outdoor Furniture Restriction (University Hill Neighborhood Only),65,5
121,Street Lights,57,12
122,Boulder Revised Code,69,0
123,Multi-use Path Maintenance,44,24
124,Right-of-Way Code Violations,60,7
125,Water Seepage,66,0
126,Open Flame and Open Burning Regulations,66,0
127,Park Maintenance Issues,47,18
128,Injured and Orphaned Small Wildlife,65,0
129,Claims,64,0
130,Pesticides,58,4
131,Pet Safety Tips,62,0
132,Sight Obstructions,44,18
133,Trails and Trailheads on Open Space,58,3
134,Contractor Licensing,61,0
135,Water Being Pumped or Diverted Off Private Property to Elsewhere,50,9
136,Speaking at City Council Meetings,59,0
137,Parking Permits,58,0
138,City Boards and Commissions,58,0
139,"Trash, Recycling and Compost Services",57,0
140,Records Requests,56,0
141,Defenses in Non-Traffic Municipal Court Cases,56,0
142,Special Trash Service (University Hill and Goss-Grove Neighborhoods),52,3
143,Affordable Homeownership,54,0
144,Bulk Water Sales,51,0
145,Projects Under Review,50,0
146,"Debris, Trash and Road Kill",30,18
147,Downtown Employee Eco Pass (CAGID & BID),48,0
148,Downtown Boulder - Pearl Street Mall,48,0
149,Sewer Backup Prevention,47,0
150,Backflow Prevention - Drinking Water,39,7
151,Boulder Civic Area,44,1
152,"Water, Wastewater, Stormwater/Drainageway Flood Recovery",38,6
153,Maintenance on Open Space and Mountain Parks,42,1
154,Landscape Mulch and Free Mulch,41,0
155,Mosquitoes,41,0
156,Senior Services Programs,41,0
157,Contact Channel 8,17,23
158,Coyotes,39,0
159,Commercial Use Permits,38,0
160,Current Affordable Homeowners,38,0
161,Sewer Odor Problem,37,0
162,Neighborhood Eco Pass,35,0
163,Report Substance Spills,35,0
164,Recreation Facilities Issues,32,2
165,Open Space Rules and Regulations,34,0
166,Special Event Liquor Permits,33,0
167,Open Space and Trail Maps,26,7
168,Open Space and Trail Closures,33,0
169,Contact Boulder Public Library,27,5
170,Drivers License and License Plates,32,0
171,Hourly Billing Charges for Development Review Applications,32,0
172,North Boulder Subcommunity Plan,28,4
173,Medians,20,12
174,City of Boulder Parking Map,31,0
175,Contact The Department of Community Vitality,29,2
176,Visitors,30,0
177,Homelessness and Homeless Services,30,0
178,Food Tax Rebate Program,29,0
179,Block Party,29,0
180,Pearl Street and University Hill activity permit information,28,0
181,Fourmile Canyon Creek Greenways Improvements Project,27,0
182,Family Resource Center and Schools,27,0
183,Solar Rebate Program,26,0
184,Including Affordable Units in Residential Development,25,0
185,Pearl Street Mall,25,0
186,Animal Shelter,25,0
187,Agriculture Plan,24,1
188,Construction and Event Parking Permits,24,0
189,Parking Fees at Open Space Trailheads,24,0
190,Bear Resistant Container Required,19,4
