Unique ID,Topic,Viewed,Made Service Request
1,Building Permits,3791,0
2,Police Code Enforcement Unit,2443,0
3,General Court Questions,1821,0
4,Firefighter Recruitment,1808,0
5,Pay a Parking Ticket,1660,0
6,Contact Open Space and Mountain Parks,942,689
7,Contact City Council,1585,0
8,Boulder Reservoir,1485,55
9,Smoking in Public Places,1302,30
10,Holidays,1301,0
11,Contact Boulder Municipal Court,1156,102
12,"Animal Control, Rules and Regulations",1181,0
13,Contact Public Works,792,331
14,Minor in Possession (MIP),915,0
15,Towed/Impounded Vehicles,851,0
16,How To Apply for a Position,785,22
17,Public Tree Issues,601,178
18,Contact Parks and Recreation,576,188
19,Sales Tax,753,0
20,Sealing Minor in Possession (MIP) Records,748,0
21,Rental Housing Licensing Code Violations,586,136
22,Dog Licensing,712,0
23,Bears,672,0
24,Animal Noise (Barking Dogs),660,0
25,Building Safety Code Violations,484,96
26,"Parking Information - Hours, Rates and Holidays",578,0
27,Trash Concerns,434,126
28,Dog Parks and Dog Swimming,540,18
29,Water System Maintenance,493,53
30,"Contact Planning, Housing and Sustainability",503,32
31,Close Call Form,394,140
32,Mountain Lions,520,0
33,Court ordered classes (MIP),490,0
34,Contact Parking Services,330,159
35,Parking Tickets,475,0
36,Prairie Dogs,467,0
37,Cats in Boulder,459,0
38,Wildlife Issue or Sighting,368,63
39,Mobile Food Vehicles,425,0
40,Contact Human Resources,323,91
41,Potholes,187,226
42,Waste Hauling Services,412,0
43,Landscape Mulch and Free Mulch,409,0
44,Fluoride,398,10
45,Zoning Code Violations,357,51
46,Street Maintenance,264,144
47,Traffic Signals,223,141
48,Construction Use Tax,337,0
49,Airport,321,0
50,Boulder Revised Code,316,0
51,Living with Urban Wildlife,307,0
52,Special Events Requirements and Other Questions,306,0
53,Employee Benefits Guide,294,5
54,Park Shelter Rental,298,0
55,Boulder City Limits,296,0
56,Jury Duty,293,0
57,Sidewalk Snow and Ice Removal,269,21
58,Business Services,289,0
59,Weed Control and Tall Vegetation,215,67
60,Leash Law and Tethering,282,0
61,Construction Meters/Hydrant Meters,278,0
62,Overgrown Sidewalk Obstructions,212,66
63,Locate an Underground Utility,276,0
64,Facility Reservations and Activity Registrations,168,89
65,Drinking Water Quality,232,24
66,Traffic Signs and Markings,178,72
67,Broken Parking Meter or Pay Station,216,33
68,Other - Miscellaneous,194,55
69,Connect Boulder,236,12
70,Boulder Planning,207,35
71,Transportation Projects,215,24
72,Contact Human Services,208,29
73,Fire System Permit Review,233,0
74,Street Lights,169,62
75,Pearl Street and University Hill Vending Cart Information,230,0
76,Business Licensing Questions,185,43
77,Dogs on Open Space and Mountain Parks,203,17
78,Storm Drain Problems,204,14
79,Valmont Bike Park,216,1
80,Sanitary Sewer Maintenance,192,21
81,Sidewalk Repair and Maintenance,141,67
82,Inspections,201,0
83,Community Service Form,201,0
84,Injured and Orphaned Small Wildlife,196,0
85,Train Noise and Quiet Zones,194,0
86,Bear Resistant Container Required,181,12
87,Volunteer Opportunities,191,0
88,Photo Enforcement Information,190,0
89,Wood Burning Restrictions,182,4
90,Liquor Licensing,182,0
91,Alley Maintenance,110,71
92,Right-of-Way Code Violations,163,14
93,"Debris, Trash and Road Kill",119,51
94,Over Occupancy,127,42
95,Water Utility Billing,150,19
96,Graffiti,81,88
97,Pay a Photo Enforcement Ticket,168,0
98,Composting and Recycling,97,69
99,Transit,166,0
100,Phone Numbers,166,0
101,Parking Permits,165,0
102,"Rentals - Landlords, Tenant & Roommate Information",163,0
103,Electric Vehicles and Charging Stations,163,0
104,Flooding Information,132,28
105,Bulk Water Sales,158,0
106,Bicycling,147,11
107,Street Sweeping,103,54
108,Contact Division of Housing,135,21
109,Shelter and Facility Rentals on Open Space,103,49
110,Crosswalks and Flashing Crosswalks,112,37
111,Contractor Licensing,148,0
112,Police Department Job Opportunities,148,0
113,Multi-use Path Maintenance,79,69
114,Sewer Backup Prevention,147,0
115,Website Issues,124,20
116,Defenses in Municipal Court Traffic Cases,140,0
117,Sight Obstructions,106,32
118,Contact City Attorney,108,29
119,Park Maintenance Issues,104,30
120,Illegal Use of a Dumpster,111,22
121,Pesticides,128,5
122,Snow Plow Request,82,44
123,Employment Definitions,125,1
124,Water Being Pumped or Diverted Off Private Property to Elsewhere,122,3
125,Projects Under Review,121,0
126,Backflow Prevention - Drinking Water,106,11
127,Mosquitoes,107,2
128,Signs in the Right-of-way,89,18
129,Fire Hydrants,106,0
130,Pet Safety Tips,99,0
131,Maintenance on Open Space and Mountain Parks,76,21
132,Defenses in Non-Traffic Municipal Court Cases,94,0
133,Outdoor Furniture Restriction (University Hill Neighborhood Only),91,3
134,SmartRegs,93,0
135,Internships and Work-Study Positions,79,11
136,Downtown Boulder - Pearl Street Mall,87,0
137,Open Space Rules and Regulations,81,4
138,Pay Your Utility Bill and MyBUB (MyBoulderUtilityBill Website),73,11
139,Contact Boulder Public Library,76,8
140,Neighborhood Eco Pass,83,0
141,Hourly Billing Charges for Development Review Applications,81,0
142,Special Trash Service (University Hill and Goss-Grove Neighborhoods),75,6
143,Medians,63,16
144,Recreation Facilities Issues,64,15
145,Contact The Department of Community Vitality,75,3
146,Claims,77,0
147,Water Seepage,76,0
148,Aircraft Noise,75,0
149,Tax Rates,73,0
150,Sewer Odor Problem,72,0
151,Downtown Employee Eco Pass (CAGID & BID),67,0
152,Affordable Rental Opportunities,66,0
153,Records Requests,66,0
154,Medical Marijuana,61,0
155,Disposable Bag Fee,58,0
156,Coyotes,54,0
157,Current Affordable Homeowners,53,0
158,Report Substance Spills,52,0
159,Creek and Culvert Debris,47,5
160,Boulder Convention and Visitors Bureau,49,0
161,Pearl Street and University Hill activity permit information,49,0
162,Affordable Homeownership,49,0
163,Animal Shelter,49,0
164,Macky Auditorium (Boulder Arts Commission) Free Rental Space,48,0
165,City of Boulder Parking Map,45,0
166,School Zone Flashing Beacons,35,9
167,Prosecution,42,0
168,Softball Leagues,40,1
169,Fire Safety Education,41,0
170,Senior Services Programs,39,0
171,Cone Zones,36,0
172,Open Data,27,9
173,Special Event Liquor Permits,36,0
174,Senior Centers,35,0
175,Boulder Civic Area,30,4
176,Events at Boulder Public Library,33,0
177,Block Party,32,0
178,Events,30,0
179,Drivers License and License Plates,30,0
180,Homelessness and Homeless Services,29,0
181,Wastewater Treatment,29,0
182,Recreation Equipment Issues,22,3
183,Boulder Measures,24,1
184,Scalping Tickets,24,0
185,Energy Future,23,0
186,Folsom Street Living Lab,22,1
187,Family Resource Center and Schools,22,0
188,Irrigation in City Parks,18,4
189,Damage Claims,16,6
190,Fourmile Canyon Creek Greenways Improvements Project,19,2
191,Cooperative Housing,20,0
192,Americans with Disabilities Act (ADA),20,0
193,News,19,0
194,Home Repair Programs,19,0
195,"Circus, Carnival or Menagerie License Instructions",19,0
196,Itinerant Merchant (Door-to-door) License,18,0
197,Inside Boulder News,18,0
198,Community Mediation Service,17,0
199,North Boulder Subcommunity Plan,15,2
200,"Emergency Alerts, Numbers and Warnings",17,0
201,Auction Licensing Instructions,16,0
202,Library Meeting Space,16,0
203,Meals on Wheels and Cafe Classico,16,0
204,Pearl Street Mall,14,2
205,Contact the Open Space Board of Trustees,12,3
206,Civic Area Parking Plan,15,0
207,Visitors,15,0
208,Contact Channel 8,15,0
209,Discrimination,14,0
210,Including Affordable Units in Residential Development,14,0
211,Skateboarding,13,0
212,Pawnbroker and Secondhand Dealer License Instructions,13,0
213,Construction and Event Parking Permits,13,0
214,Birth and Death Certificate Request,13,0
215,Solar Rebate Program,12,0
216,Accessible Parking,11,0
217,Canyon Gallery and Art Exhibit Space,11,0
218,Housing Fund for Affordable Housing Providers,11,0
219,Local History,10,0
220,Getting a Boulder Public Library card,10,0
221,Canyon Theater and Canyon Gallery Space Rentals,9,0
222,Wage Issues,9,0
223,Americans with Disabilities Act (ADA) Trails,9,0
224,Boulder Office of Emergency Management,9,0
225,Speeding on Residential Streets,6,3
226,Public Works Volunteer Work Reporting,6,2
227,Prevention and Intervention,8,0
228,Twenty Ninth Street,8,0
229,Youth Opportunities,6,0
230,Pharmaceutical Disposal and Collection,6,0
231,Food Tax Rebate Program,6,0
232,Emergency Preparedness,6,0
233,Community Development Block Grant,5,0
234,Boulder Arts Commission Grants,5,0
235,Current Emergency Information,4,0
236,Community Event and Impact Funds,4,0
237,Youth Opportunities Grants,4,0
238,Americans for the Arts Convention Scholarships,4,0
239,Theater Rental and Marketing Assistance Grants,4,0
240,Ask-a-Librarian,4,0
241,Tree Branch Pick-Up,4,0
242,Immigrant Integration,3,0
243,Reimbursement for Professional Development,3,0
244,Volunteering at the Library,3,0
245,Human Services Fund,2,0
246,Child Care Referrals and Subsidies,2,0
247,Child Care Provider Training,2,0
248,BoulderReads!,2,0
249,Open Space Recreation Activities,1,0
250,Frozen Water Pipes,1,0
