Unique ID,Entered via,Department,Topic,Entered date
1,Web,Open Space and Mountain Parks,Agriculture Plan,3/13/16
2,Web,Public Works,Alley Maintenance,7/19/16
3,Web,Public Works,Alley Maintenance,5/24/16
4,Web,Public Works,Alley Maintenance,3/21/16
5,Web,Public Works,Alley Maintenance,7/21/16
6,iPhone,Public Works,Alley Maintenance,4/10/16
7,Phone,Public Works,Alley Maintenance,3/28/16
8,Web,Public Works,Alley Maintenance,9/30/16
9,Phone,Public Works,Alley Maintenance,5/9/16
10,Web,Public Works,Alley Maintenance,6/1/16
11,Web,Public Works,Alley Maintenance,5/28/16
12,Phone,Public Works,Alley Maintenance,12/14/16
13,Phone,Public Works,Alley Maintenance,3/29/16
14,Phone,Public Works,Alley Maintenance,4/25/16
15,Phone,Public Works,Alley Maintenance,9/19/16
16,Phone,Public Works,Alley Maintenance,9/1/16
17,Phone,Public Works,Alley Maintenance,2/17/16
18,Phone,Public Works,Alley Maintenance,6/29/16
19,Phone,Public Works,Alley Maintenance,9/20/16
20,Web,Public Works,Alley Maintenance,6/20/16
21,Web,Public Works,Alley Maintenance,2/29/16
22,Phone,Public Works,Alley Maintenance,2/22/16
23,Web,Public Works,Alley Maintenance,5/24/16
24,Web,Public Works,Alley Maintenance,7/6/16
25,Phone,Public Works,Alley Maintenance,4/5/16
26,Web,Public Works,Alley Maintenance,8/12/16
27,Web,Public Works,Alley Maintenance,4/22/16
28,Web,Public Works,Alley Maintenance,11/15/16
29,Phone,Public Works,Alley Maintenance,12/19/16
30,Web,Public Works,Alley Maintenance,4/19/16
31,Web,Public Works,Alley Maintenance,4/4/16
32,Phone,Public Works,Alley Maintenance,4/14/16
33,Web,Public Works,Alley Maintenance,4/27/16
34,Phone,Public Works,Alley Maintenance,8/23/16
35,Web,Public Works,Alley Maintenance,5/24/16
36,Web,Public Works,Alley Maintenance,5/1/16
37,Web,Public Works,Alley Maintenance,6/7/16
38,Phone,Public Works,Alley Maintenance,11/7/16
39,Web,Public Works,Alley Maintenance,1/22/16
40,Web,Public Works,Alley Maintenance,12/18/16
41,Phone,Public Works,Alley Maintenance,8/16/16
42,Web,Public Works,Alley Maintenance,6/12/16
43,Web,Public Works,Alley Maintenance,9/30/16
44,Web,Public Works,Alley Maintenance,3/28/16
45,Web,Public Works,Alley Maintenance,7/16/16
46,Web,Public Works,Alley Maintenance,6/1/16
47,Web,Public Works,Alley Maintenance,4/19/16
48,Web,Public Works,Alley Maintenance,5/24/16
49,Web,Public Works,Alley Maintenance,3/31/16
50,Phone,Public Works,Alley Maintenance,5/26/16
51,Phone,Public Works,Alley Maintenance,4/7/16
52,Phone,Public Works,Alley Maintenance,5/23/16
53,Phone,Public Works,Alley Maintenance,3/24/16
54,Web,Public Works,Alley Maintenance,2/23/16
55,Phone,Public Works,Alley Maintenance,3/21/16
56,Web,Public Works,Alley Maintenance,12/21/16
57,Web,Public Works,Alley Maintenance,8/24/16
58,Web,Public Works,Alley Maintenance,2/13/16
59,Web,Public Works,Alley Maintenance,10/5/16
60,Web,Public Works,Alley Maintenance,8/30/16
61,Phone,Public Works,Alley Maintenance,11/1/16
62,Web,Public Works,Alley Maintenance,4/5/16
63,Web,Public Works,Alley Maintenance,7/29/16
64,Web,Public Works,Alley Maintenance,5/3/16
65,Phone,Public Works,Alley Maintenance,5/23/16
66,Phone,Public Works,Alley Maintenance,9/6/16
67,Web,Public Works,Alley Maintenance,5/2/16
68,Phone,Public Works,Alley Maintenance,10/14/16
69,Web,Public Works,Alley Maintenance,12/30/16
70,Web,Public Works,Alley Maintenance,12/21/16
